experiment name	run name	in domain accuracy	out of domain accuracy	cond_3_unacceptable	cond_4_acceptable	npi=any	npi=any_cond_3_unacceptable	npi=any_cond_4_acceptable	npi=ever	npi=ever_cond_3_unacceptable	npi=ever_cond_4_acceptable	npi=yet	npi=yet_cond_3_unacceptable	npi=yet_cond_4_acceptable
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_4	1.0	0.029576338928856916	0.05875299760191847	0.0003996802557953637	0.5140887290167866	0.05515587529976019	0.001199040767386091	0.5302757793764988	0.1211031175059952	0.0	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_8	1.0	0.13309352517985612	0.12350119904076738	0.14268585131894485	0.6028177458033573	0.18705035971223022	0.22422062350119903	0.5962230215827338	0.18345323741007194	0.2014388489208633	0.500599520383693	0.0	0.002398081534772182
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_10	1.0	0.1135091926458833	0.22302158273381295	0.003996802557953637	0.5296762589928058	0.10671462829736211	0.011990407673860911	0.6405875299760192	0.5623501199040767	0.0	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_7	1.0	0.5369704236610712	0.4660271782573941	0.6079136690647482	0.8360311750599521	0.46642685851318944	0.8776978417266187	0.9640287769784173	0.9316546762589928	0.9244604316546763	0.5053956834532374	0.0	0.02158273381294964
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_0	1.0	0.3824940047961631	0.28617106314948043	0.4788169464428457	0.7014388489208633	0.014388489208633094	0.7913669064748201	0.8723021582733813	0.8441247002398081	0.645083932853717	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_11	1.0	0.45863309352517984	0.2501998401278977	0.667066346922462	0.7970623501199041	0.1906474820143885	0.9976019184652278	0.8899880095923262	0.5599520383693045	1.0	0.5008992805755396	0.0	0.0035971223021582736
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_1	1.0	0.1189048760991207	0.2378097521982414	0.0	0.5704436450839329	0.28177458033573144	0.0	0.6079136690647482	0.4316546762589928	0.0	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_5	1.0	0.02018385291766587	0.02877697841726619	0.011590727418065548	0.5188848920863309	0.07553956834532374	0.0	0.5113908872901679	0.01079136690647482	0.03477218225419664	0.5	0.0	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_3	1.0	0.12250199840127898	0.2446043165467626	0.0003996802557953637	0.5737410071942446	0.2949640287769784	0.0	0.5959232613908872	0.3824940047961631	0.001199040767386091	0.5140887290167866	0.05635491606714628	0.0
/scratch/asw462/jiant/structure_dependence/npi_scope/npi_scope_10k_sweep	run_2	1.0	0.1079136690647482	0.0	0.2158273381294964	0.5179856115107914	0.0	0.07194244604316546	0.6438848920863309	0.0	0.5755395683453237	0.5	0.0	0.0
