expression,category,category_2,common,sg,pl,mass,finite,bare,pres,past,ing,en,3sg,arg_1,arg_2,arg_3,root,adjs,restrictor_DE,scope_DE,NPI,animate,occupation,clothing,appearance,thing,breakable,start_with_vowel,frontable,gender
withdraw,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
withdrawing,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
withdrew,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
withdrawn,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
withdraw,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
withdraws,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
wonder,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
wondering,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
wondered,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
wondered,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
wonder,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
wonders,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
work,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
working,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
worked,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
worked,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
work,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
works,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
write,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
writing,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
wrote,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
written,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
write,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
writes,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
yell,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
yelling,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
yelled,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
yelled,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
yell,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
yells,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
benefit,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
benefiting,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
benefited,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
benefited,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
benefit,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
benefits,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
profit,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
profiting,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
profited,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
profited,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
profit,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
profits,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
approve,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
approving,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
approved,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
approved,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
approve,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
approves,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
balk,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
balking,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
balked,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
balked,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
balk,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
balks,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
care,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
caring,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
cared,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
cared,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
care,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
cares,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
cheer,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
cheering,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
cheered,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
cheered,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
cheer,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
cheers,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
die,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
dying,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
died,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
died,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
die,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
dies,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
fear,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
fearing,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
feared,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
feared,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
fear,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
fears,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
mind,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
minding,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
minded,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
minded,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
mind,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
minds,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
quake,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
quaking,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
quaked,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
quaked,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
quake,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
quakes,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
revel,S\NP,IV_ag,,,,,0,1,0,0,0,0,0,animate=1,,,,,,,,,,,,,,,,
reveling,S\NP,IV_ag,,,,,0,0,0,0,1,0,0,animate=1,,,,,,,,,,,,,,,,
reveled,S\NP,IV_ag,,,,,1,0,0,1,0,0,0,animate=1,,,,,,,,,,,,,,,,
reveled,S\NP,IV_ag,,,,,0,0,0,0,0,1,0,animate=1,,,,,,,,,,,,,,,,
revel,S\NP,IV_ag,,,,,1,0,1,0,0,0,0,animate=1^sg=0,,,,,,,,,,,,,,,,
revels,S\NP,IV_ag,,,,,1,0,1,0,0,0,1,animate=1^sg=1,,,,,,,,,,,,,,,,
