roar,S\NP,Agent,,
rock,S\NP,Agent,,
roll,S\NP,Agent,,
sacrifice,S\NP,Agent,,
salute,S\NP,Agent,,
scrap,S\NP,Agent,,
scratch,S\NP,Agent,,
scream,S\NP,Agent,,
seal,S\NP,Agent,,
seal,S\NP,Agent,,
seek,S\NP,Agent,,
settle,S\NP,Agent,,
shave,S\NP,Agent,,
shave,S\NP,Agent,,
shout,S\NP,Agent,,
shrimp,S\NP,Agent,,
shrimp,S\NP,Agent,,
shrug,S\NP,Agent,,
sigh,S\NP,Agent,,
sigh,S\NP,Agent,,
sign,S\NP,Agent,,
sing,S\NP,Agent,,
sip,S\NP,Agent,,
sit,S\NP,Agent,,
slump,S\NP,Agent,,
smile,S\NP,Agent,,
smile,S\NP,Agent,,
smoke,S\NP,Agent,,
snap,S\NP,Agent,,
sniff,S\NP,Agent,,
sniff,S\NP,Agent,,
spawn,S\NP,Agent,,
speak,S\NP,Agent,,
speak,S\NP,Agent,,
speak,S\NP,Agent,,
spin,S\NP,Agent,,
stand,S\NP,Agent,,
straddle,S\NP,Agent,,
stretch,S\NP,Agent,,
strike,S\NP,Agent,,
strip,S\NP,Agent,,
struggle,S\NP,Agent,,
study,S\NP,Agent,,
study,S\NP,Agent,,
submit,S\NP,Agent,,
succeed,S\NP,Agent,,
suck,S\NP,Agent,,
surrender,S\NP,Agent,,
swallow,S\NP,Agent,,
sway,S\NP,Agent,,
talk,S\NP,Agent,,
talk,S\NP,Agent,,
talk,S\NP,Agent,,
telephone,S\NP,Agent,,
testify,S\NP,Agent,,
think,S\NP,Agent,,
use,S\NP,Agent,,
verify,S\NP,Agent,,
vie,S\NP,Agent,,
visit,S\NP,Agent,,
visit,S\NP,Agent,,
war,S\NP,Agent,,
wash,S\NP,Agent,,
wash,S\NP,Agent,,
wave,S\NP,Agent,,
weep,S\NP,Agent,,
weep,S\NP,Agent,,
whisper,S\NP,Agent,,
win,S\NP,Agent,,
withdraw,S\NP,Agent,,
wonder,S\NP,Agent,,
work,S\NP,Agent,,
work,S\NP,Agent,,
write,S\NP,Agent,,
write,S\NP,Agent,,
write,S\NP,Agent,,
yell,S\NP,Agent,,
yell,S\NP,Agent,,
benefit,S\NP,Beneficiary,,
profit,S\NP,Beneficiary,,
approve,S\NP,Experiencer,,
balk,S\NP,Experiencer,,
bask,S\NP,Experiencer,,
bother,S\NP,Experiencer,,
