experiment name	run name	in domain accuracy	out of domain accuracy	1/1	1/0	0/1	0/0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_17	0.5086666666666667	0.496	0.07466666666666667	0.058666666666666666	0.06666666666666667	0.8
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_7	0.9966666666666667	0.9953333333333333	0.0026666666666666666	0.9906666666666667	0.0	0.006666666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_13	1.0	0.988	0.024	0.976	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_0	0.5013333333333333	0.49933333333333335	0.0	0.0	0.0013333333333333333	0.9986666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_16	0.9973333333333333	0.9946666666666667	0.008	0.9906666666666667	0.0013333333333333333	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_11	0.866	0.8533333333333334	0.23866666666666667	0.7333333333333333	0.02666666666666667	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_1	0.914	0.9013333333333333	0.021333333333333333	0.804	0.0013333333333333333	0.17333333333333334
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_5	0.9993333333333333	0.9233333333333333	0.14666666666666667	0.8493333333333334	0.0026666666666666666	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_3	1.0	0.9806666666666667	0.0	0.9613333333333334	0.0	0.03866666666666667
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_2	0.8686666666666667	0.78	0.3973333333333333	0.5813333333333334	0.021333333333333333	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_15	0.9993333333333333	0.924	0.152	0.848	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_19	0.612	0.5533333333333333	0.6933333333333334	0.132	0.025333333333333333	0.14933333333333335
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_18	0.9993333333333333	0.98	0.04	0.96	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_9	1.0	0.8886666666666667	0.22133333333333333	0.7773333333333333	0.0	0.0013333333333333333
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_3k_sweep	run_6	1.0	0.97	0.004	0.94	0.0	0.056
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_14	0.9998	0.9936	0.0032	0.988	0.0008	0.008
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_12	0.9998	0.9906	0.0184	0.9812	0.0	0.0004
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_4	1.0	0.9682	0.0608	0.9372	0.0008	0.0012
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_8	0.9998	0.9072	0.1852	0.8144	0.0	0.0004
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_17	0.9998	0.7142	0.57	0.4292	0.0008	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_10	0.9992	0.9546	0.0908	0.9092	0.0	0.0
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_7	1.0	0.9942	0.0	0.9884	0.0	0.0116
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_13	0.9998	0.9516	0.0672	0.9064	0.0032	0.0232
/scratch/asw462/jiant/structure_dependence/reflexive_experiment/reflexive_10k_sweep	run_0	0.9998	0.9642	0.0716	0.9284	0.0	0.0
