is not dir: summaryexperiment name	run name	in domain accuracy	out of domain accuracy	himself herself accuracy	herself himself accuracy	himself itself accuracy	itself himself accuracy	himself themselves accuracy	themselves himself accuracy	herself itself accuracy	itself herself accuracy	herself themselves accuracy	themselves herself accuracy	itself themselves accuracy	themselves itself accuracy
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_11	0.6606666666666666	0.6193333333333333	0.6071428571428571	0.75	0.7142857142857143	0.5	0.5859375	0.6464646464646465	0.7833333333333333	0.5	0.5645161290322581	0.6404867256637168	0.4772727272727273	0.7044392523364486
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_1	0.57	0.5233333333333333	0.32142857142857145	0.5833333333333334	0.5357142857142857	0.5	0.4921875	0.6212121212121212	0.5666666666666667	0.4444444444444444	0.49193548387096775	0.5497787610619469	0.5	0.5607476635514018
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_5	0.534	0.526	0.5	0.5	0.5357142857142857	0.5	0.53125	0.51010101010101	0.5	0.5	0.5080645161290323	0.5132743362831859	0.5340909090909091	0.5700934579439252
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_3	0.96	0.9626666666666667	0.5	0.8333333333333334	0.9285714285714286	0.75	0.9609375	0.9873737373737373	0.9833333333333333	0.5277777777777778	0.9220430107526881	0.9933628318584071	0.8068181818181818	1.0
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_2	0.8393333333333334	0.828	0.5	0.4166666666666667	0.75	0.5	0.4765625	0.9949494949494949	0.5	0.5	0.3655913978494624	0.9933628318584071	0.4090909090909091	0.9929906542056075
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_9	0.9993333333333333	0.9846666666666667	0.9285714285714286	1.0	1.0	1.0	1.0	1.0	1.0	0.9722222222222222	1.0	0.9900442477876106	0.9943181818181818	0.9871495327102804
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_3k_sweep	run_6	0.53	0.49266666666666664	0.5714285714285714	0.5	0.5357142857142857	0.5	0.515625	0.5227272727272727	0.5333333333333333	0.4166666666666667	0.5026881720430108	0.5077433628318584	0.48863636363636365	0.5175233644859814
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_4	1.0	0.9758	1.0	0.9910714285714286	0.993421052631579	0.825	0.9954545454545455	0.964572192513369	1.0	0.8690476190476191	0.9969262295081968	0.9913916786226685	0.9651162790697675	0.9996744791666666
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_8	1.0	0.9516	1.0	0.9910714285714286	1.0	0.825	0.9840909090909091	0.9779411764705882	0.9956896551724138	0.8571428571428571	0.9969262295081968	0.9827833572453372	0.9534883720930233	0.9654947916666666
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_10	0.9994	0.936	0.9891304347826086	0.9821428571428571	1.0	0.9	0.9795454545454545	0.9766042780748663	1.0	0.8095238095238095	0.9774590163934426	0.9332855093256814	0.9127906976744186	0.9990234375
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_7	1.0	0.9566	1.0	1.0	1.0	1.0	0.9954545454545455	0.9899732620320856	1.0	1.0	0.9989754098360656	0.9641319942611191	1.0	0.9677734375
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_0	1.0	0.9796	1.0	0.8928571428571429	0.9802631578947368	0.95	1.0	0.982620320855615	0.978448275862069	0.9880952380952381	1.0	0.9939024390243902	1.0	0.98828125
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_11	0.9998	0.9686	1.0	1.0	1.0	0.95	0.9727272727272728	0.9832887700534759	1.0	0.9642857142857143	0.9672131147540983	0.996413199426112	0.8662790697674418	0.9983723958333334
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_1	0.9998	0.9708	0.9782608695652174	1.0	0.993421052631579	0.875	0.9863636363636363	0.9926470588235294	1.0	0.8095238095238095	0.9918032786885246	0.9730989956958394	0.9593023255813954	0.9993489583333334
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_5	0.998	0.934	0.9891304347826086	1.0	1.0	0.9	0.9636363636363636	0.982620320855615	1.0	0.8690476190476191	0.9641393442622951	0.9723816355810617	0.8604651162790697	0.9680989583333334
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_3	0.5572	0.5618	0.4782608695652174	0.5803571428571429	0.4868421052631579	0.55	0.5	0.5822192513368984	0.5	0.5119047619047619	0.5194672131147541	0.5591822094691535	0.5193798449612403	0.587890625
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_2	0.997	0.883	0.7608695652173914	0.9196428571428571	0.9144736842105263	1.0	0.8136363636363636	0.9318181818181818	0.9568965517241379	0.8928571428571429	0.9682377049180327	0.9096126255380201	0.9825581395348837	0.9801432291666666
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_9	0.9998	0.939	1.0	0.9285714285714286	0.9868421052631579	0.95	0.9295454545454546	0.9398395721925134	0.9870689655172413	0.9761904761904762	0.9477459016393442	0.9791965566714491	0.9147286821705426	0.9951171875
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_10k_sweep	run_6	1.0	0.9636	0.9565217391304348	0.7857142857142857	0.9210526315789473	0.8	0.9704545454545455	0.9685828877005348	0.9870689655172413	0.9642857142857143	0.9682377049180327	0.9960545193687231	0.9651162790697675	0.9973958333333334
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_4	0.52	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_8	0.52	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_10	0.5	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_7	0.66	0.68	0.5	nan	nan	nan	0.875	0.5	0.5	nan	0.5	0.6944444444444444	0.4166666666666667	0.9
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_0	0.5	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_11	0.5	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_1	0.5	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_5	0.52	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_3	0.52	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_2	0.5	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.5
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_9	0.5	0.52	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5	0.5	0.55
/scratch/asw462/jiant/structure_dependence/reflexive/reflexive_100_sweep	run_6	0.52	0.5	0.5	nan	nan	nan	0.5	0.5	0.5	nan	0.5	0.5277777777777778	0.5	0.5
