experiment name	run name	in domain accuracy	out of domain accuracy	cond_3_acceptable	cond_4_unacceptable
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_3k_sweep	run_6	1.0	1.0	1.0	0.9893333333333333
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_4	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_8	1.0	1.0	0.9866666666666667	0.9866666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_10	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_7	0.7933333333333333	0.7933333333333333	0.32	0.9733333333333334
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_0	0.5466666666666666	0.5466666666666666	1.0	0.04
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_11	1.0	1.0	0.92	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_1	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_5	0.5	0.5	1.0	0.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_3	0.5533333333333333	0.5533333333333333	0.92	0.10666666666666667
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_2	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_9	0.5066666666666667	0.5066666666666667	0.0	1.0
/scratch/asw462/jiant/structure_dependence/polar_q/polar_q_300_sweep	run_6	0.5066666666666667	0.5066666666666667	0.0	1.0
