model,filtered,trigger_type,condition,control,trigger_condition,presupposition_condition,accuracy,entailment,neutral,contradiction,n_examples
BERT,False,both_presupposition,control_interrogative,True,interrogative,,0.29,0.71,0.29,0,100
BERT,False,both_presupposition,control_conditional,True,conditional,,0.15,0.85,0.15,0,100
BERT,True,both_presupposition,test_unembedded_positive,False,unembedded,positive,0,0,0,0,0
BERT,True,both_presupposition,test_unembedded_negated,False,unembedded,negated,0,0,0,0,0
BERT,True,both_presupposition,test_unembedded_neutral,False,unembedded,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_negated_positive,False,negated,positive,0,0,0,0,0
BERT,True,both_presupposition,test_negated_negated,False,negated,negated,0,0,0,0,0
BERT,True,both_presupposition,test_negated_neutral,False,negated,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_positive,False,interrogative,positive,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_negated,False,interrogative,negated,0,0,0,0,0
BERT,True,both_presupposition,test_interrogative_neutral,False,interrogative,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_modal_positive,False,modal,positive,0,0,0,0,0
BERT,True,both_presupposition,test_modal_negated,False,modal,negated,0,0,0,0,0
BERT,True,both_presupposition,test_modal_neutral,False,modal,neutral,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_positive,False,conditional,positive,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_negated,False,conditional,negated,0,0,0,0,0
BERT,True,both_presupposition,test_conditional_neutral,False,conditional,neutral,0,0,0,0,0
BERT,True,both_presupposition,control_negated,True,negated,,0,0,0,0,0
BERT,True,both_presupposition,control_modal,True,modal,,0,0,0,0,0
BERT,True,both_presupposition,control_interrogative,True,interrogative,,0,0,0,0,0
BERT,True,both_presupposition,control_conditional,True,conditional,,0,0,0,0,0
BERT,False,change_of_state,test_unembedded_positive,False,unembedded,positive,0.13,0.13,0.34,0.53,100
BERT,False,change_of_state,test_unembedded_negated,False,unembedded,negated,0.12,0.59,0.29,0.12,100
BERT,False,change_of_state,test_unembedded_neutral,False,unembedded,neutral,0.36,0.08,0.36,0.56,100
BERT,False,change_of_state,test_negated_positive,False,negated,positive,0.47,0.47,0.47,0.06,100
BERT,False,change_of_state,test_negated_negated,False,negated,negated,0.18,0.48,0.34,0.18,100
BERT,False,change_of_state,test_negated_neutral,False,negated,neutral,0.58,0.16,0.58,0.26,100
BERT,False,change_of_state,test_interrogative_positive,False,interrogative,positive,0.06,0.06,0.47,0.47,100
BERT,False,change_of_state,test_interrogative_negated,False,interrogative,negated,0.27,0.35,0.38,0.27,100
BERT,False,change_of_state,test_interrogative_neutral,False,interrogative,neutral,0.47,0,0.47,0.53,100
BERT,False,change_of_state,test_modal_positive,False,modal,positive,0.06,0.06,0.45,0.49,100
BERT,False,change_of_state,test_modal_negated,False,modal,negated,0.21,0.51,0.28,0.21,100
BERT,False,change_of_state,test_modal_neutral,False,modal,neutral,0.43,0.03,0.43,0.54,100
BERT,False,change_of_state,test_conditional_positive,False,conditional,positive,0.11,0.11,0.45,0.44,100
BERT,False,change_of_state,test_conditional_negated,False,conditional,negated,0.13,0.44,0.43,0.13,100
BERT,False,change_of_state,test_conditional_neutral,False,conditional,neutral,0.52,0.04,0.52,0.44,100
BERT,False,change_of_state,control_negated,True,negated,,1,0,0,1,100
BERT,False,change_of_state,control_modal,True,modal,,0.76,0.02,0.76,0.22,100
BERT,False,change_of_state,control_interrogative,True,interrogative,,0.96,0.02,0.96,0.02,100
BERT,False,change_of_state,control_conditional,True,conditional,,0.87,0.13,0.87,0,100
BERT,True,change_of_state,test_unembedded_positive,False,unembedded,positive,1,1,0,0,13
BERT,True,change_of_state,test_unembedded_negated,False,unembedded,negated,0.3076923076923077,0.6923076923076923,0,0.3076923076923077,13
